Ticker,現在値,利確目標(+2ATR),損切撤退(-1ATR),生利確確率,生損切確率,出来高倍率,5日売買代金(億),ベータ,AI判定
3445.T,5470.0,6061.4,5174.3,36.4%,54.7%,1.17x,9.1,1.23,👀 WATCH
8344.T,4860.0,5233.6,4673.2,36.1%,54.0%,1.98x,7.8,0.87,👀 WATCH
6140.T,1122.0,1199.9,1083.1,36.1%,54.3%,0.92x,6.2,1.44,⏸️ WAIT
6460.T,3152.0,3329.9,3063.1,36.0%,53.9%,1.40x,29.6,0.09,👀 WATCH
1961.T,2377.0,2503.3,2313.9,36.0%,54.7%,1.30x,7.6,1.22,👀 WATCH
8345.T,2607.0,2785.0,2518.0,35.9%,53.8%,1.70x,7.9,1.03,👀 WATCH
6005.T,3054.0,3207.3,2977.4,35.9%,53.3%,0.95x,11.1,0.6,⏸️ WAIT
4022.T,1915.0,2115.3,1814.9,35.9%,54.5%,0.75x,12.3,2.29,⏸️ WAIT
6480.T,1661.0,1816.0,1583.5,35.8%,54.5%,0.85x,10.3,1.86,⏸️ WAIT
4047.T,2204.0,2385.9,2113.1,35.8%,54.4%,0.84x,14.0,1.85,⏸️ WAIT
1911.T,1254.0,1299.3,1231.4,35.8%,53.7%,0.95x,63.6,0.36,⏸️ WAIT
9436.T,4240.0,4388.6,4165.7,35.8%,54.4%,0.85x,5.0,0.33,⏸️ WAIT
2264.T,1089.0,1137.0,1065.0,35.8%,54.5%,0.85x,20.1,0.06,⏸️ WAIT
1833.T,5700.0,5874.3,5612.9,35.8%,54.1%,1.29x,8.1,0.3,👀 WATCH
4634.T,5000.0,5222.1,4888.9,35.8%,54.6%,1.17x,6.5,0.72,👀 WATCH
8362.T,7320.0,7928.6,7015.7,35.8%,54.1%,1.06x,7.3,0.93,👀 WATCH
3099.T,3112.0,3277.7,3029.1,35.7%,53.0%,0.86x,71.2,0.77,⏸️ WAIT
9435.T,37760.0,39051.4,37114.3,35.7%,54.0%,1.03x,23.9,0.1,👀 WATCH
3110.T,2955.0,3301.4,2781.8,35.7%,54.9%,1.05x,128.2,1.91,👀 WATCH
5706.T,24705.0,27601.4,23256.8,35.7%,53.9%,1.29x,403.6,2.12,👀 WATCH
6141.T,2765.0,2920.6,2687.2,35.7%,54.2%,0.86x,45.5,1.31,⏸️ WAIT
5844.T,4893.0,5120.9,4779.1,35.7%,54.5%,1.50x,47.1,0.76,👀 WATCH
6627.T,11200.0,12642.9,10478.6,35.7%,54.5%,0.87x,7.9,2.28,⏸️ WAIT
1885.T,2082.0,2196.9,2024.6,35.7%,54.7%,0.97x,9.1,1.02,⏸️ WAIT
6367.T,20850.0,21586.4,20481.8,35.6%,54.0%,0.99x,244.5,0.39,⏸️ WAIT
8056.T,4719.0,4929.9,4613.6,35.6%,55.3%,1.03x,18.6,0.07,👀 WATCH
2767.T,2478.0,2608.0,2413.0,35.6%,54.4%,0.79x,9.6,0.17,⏸️ WAIT
8253.T,4581.0,4773.3,4484.9,35.6%,54.8%,1.20x,33.4,0.23,👀 WATCH
6787.T,19310.0,21725.7,18102.1,35.6%,54.7%,0.82x,65.4,2.17,⏸️ WAIT
7744.T,1964.0,2075.3,1908.4,35.5%,54.9%,1.92x,6.0,0.69,👀 WATCH
8360.T,7200.0,7665.7,6967.1,35.5%,54.5%,1.00x,9.7,1.04,👀 WATCH
4681.T,1763.0,1827.6,1730.7,35.5%,54.0%,1.20x,7.9,0.13,👀 WATCH
4516.T,3359.0,3472.6,3302.2,35.5%,54.6%,1.29x,10.5,0.07,👀 WATCH
8358.T,2804.0,2937.9,2737.1,35.5%,54.9%,1.57x,21.2,0.56,👀 WATCH
4755.T,723.6,761.9,704.5,35.5%,54.1%,0.92x,113.6,0.75,⏸️ WAIT
7974.T,7989.0,8514.3,7726.4,35.5%,53.8%,1.73x,732.2,0.52,👀 WATCH
9706.T,5562.0,5801.7,5442.1,35.5%,53.1%,0.68x,102.4,0.21,⏸️ WAIT
6890.T,9200.0,10128.6,8735.7,35.5%,54.9%,1.05x,80.8,2.13,⏸️ WAIT
2503.T,2791.0,2895.1,2739.0,35.5%,54.1%,1.04x,82.7,0.12,⏸️ WAIT
6323.T,3649.0,3967.7,3489.6,35.5%,55.2%,1.18x,42.0,1.39,⏸️ WAIT
6136.T,3422.0,3629.4,3318.3,35.5%,54.5%,0.94x,10.2,1.27,⏸️ WAIT
5101.T,6792.0,7285.9,6545.1,35.5%,54.7%,0.81x,64.3,1.03,⏸️ WAIT
4966.T,19180.0,20500.0,18520.0,35.4%,55.1%,1.01x,8.8,1.12,⏸️ WAIT
2737.T,35750.0,40090.0,33580.0,35.4%,55.8%,1.47x,34.2,1.83,⏸️ WAIT
4901.T,3232.0,3376.0,3160.0,35.4%,55.0%,0.97x,118.7,0.45,⏸️ WAIT
7832.T,5236.0,5535.1,5086.4,35.4%,53.8%,1.08x,172.5,0.06,⏸️ WAIT
3132.T,3674.0,3965.6,3528.2,35.4%,54.3%,0.95x,23.3,1.98,⏸️ WAIT
4114.T,2519.5,2628.2,2465.1,35.4%,54.6%,0.75x,21.9,0.44,⏸️ WAIT
1723.T,2511.0,2715.0,2409.0,35.4%,53.7%,0.73x,5.8,1.81,⏸️ WAIT
6753.T,669.2,710.7,648.4,35.4%,54.7%,1.82x,20.0,0.86,⏸️ WAIT
6966.T,940.0,1007.7,906.1,35.4%,55.2%,3.57x,53.3,1.48,⏸️ WAIT
7721.T,6590.0,7242.9,6263.6,35.4%,53.7%,1.40x,17.1,1.58,⏸️ WAIT
8387.T,4050.0,4327.1,3911.4,35.4%,54.8%,1.92x,7.4,0.84,⏸️ WAIT
8086.T,1446.0,1499.1,1419.4,35.4%,55.3%,1.59x,11.3,0.18,⏸️ WAIT
5802.T,2111.5,2284.3,2025.1,35.4%,55.3%,1.15x,356.1,1.64,⏸️ WAIT
4480.T,2465.0,2672.1,2361.4,35.4%,55.0%,0.90x,5.9,0.23,⏸️ WAIT
1518.T,2275.0,2351.7,2236.6,35.4%,53.8%,0.87x,6.1,0.48,⏸️ WAIT
2413.T,1701.0,1825.2,1638.9,35.4%,54.6%,1.10x,58.3,0.2,⏸️ WAIT
4043.T,4052.0,4298.3,3928.9,35.4%,55.1%,0.71x,23.1,1.42,⏸️ WAIT
