ticker,price,target_price,stop_price,prob_win,prob_stop,beta,vol_ratio,turnover_oku,action,reason
4812.T,2859.0,2913.6,2831.7,0.3684,0.5294,0.05,0.84,27.6,⏸️ WAIT,確信度不足
6480.T,1600.0,1763.9,1518.1,0.3623,0.5421,1.9,1.2,11.6,⏸️ WAIT,確信度不足
9706.T,5409.0,5659.0,5284.0,0.362,0.5331,0.31,0.54,95.4,⏸️ WAIT,確信度不足
8056.T,4750.0,4961.1,4644.4,0.3616,0.542,-0.03,1.11,19.5,⏸️ WAIT,確信度不足
2331.T,1216.5,1254.8,1197.4,0.3613,0.5463,-0.22,1.17,12.5,⏸️ WAIT,確信度不足
3110.T,2835.0,3183.0,2661.0,0.3609,0.5474,2.01,1.13,137.9,⏸️ WAIT,確信度不足
6966.T,868.0,944.0,830.0,0.3598,0.5441,1.65,1.07,63.6,⏸️ WAIT,確信度不足
6417.T,2055.0,2132.1,2016.4,0.3588,0.5417,-0.16,1.3,19.7,⏸️ WAIT,確信度不足
4022.T,1830.0,2031.1,1729.4,0.3586,0.5522,2.1,0.92,12.8,⏸️ WAIT,確信度不足
2413.T,1690.0,1813.5,1628.2,0.3585,0.5441,0.12,1.05,59.9,⏸️ WAIT,確信度不足
8388.T,10190.0,10891.4,9839.3,0.3584,0.5415,0.59,1.51,10.5,⏸️ WAIT,確信度不足
6136.T,3382.0,3592.4,3276.8,0.3583,0.5448,1.21,1.04,10.6,⏸️ WAIT,確信度不足
1911.T,1218.0,1265.8,1194.1,0.3577,0.5427,0.42,1.58,74.3,⏸️ WAIT,確信度不足
6890.T,8620.0,9594.3,8132.9,0.3577,0.5399,2.31,1.23,83.7,⏸️ WAIT,確信度不足
4047.T,2136.0,2324.6,2041.7,0.3575,0.5459,1.85,1.2,15.1,⏸️ WAIT,確信度不足
4182.T,3809.0,4047.6,3689.7,0.3574,0.5448,1.24,1.13,53.9,⏸️ WAIT,確信度不足
3099.T,3151.0,3317.4,3067.8,0.3573,0.5369,0.72,1.06,64.6,⏸️ WAIT,確信度不足
4118.T,5927.0,6173.6,5803.7,0.3573,0.5479,0.43,1.17,10.6,⏸️ WAIT,確信度不足
2737.T,34800.0,39154.3,32622.9,0.3572,0.5495,1.85,1.27,38.2,⏸️ WAIT,確信度不足
7735.T,12255.0,13343.6,11710.7,0.3571,0.5418,1.39,1.13,211.6,⏸️ WAIT,確信度不足
5844.T,4815.0,5052.0,4696.5,0.357,0.548,0.75,1.29,51.2,⏸️ WAIT,確信度不足
4452.T,3387.0,3511.6,3324.7,0.3567,0.538,0.1,1.23,93.1,⏸️ WAIT,確信度不足
2503.T,2775.0,2877.7,2723.6,0.3565,0.5416,0.05,1.05,83.2,⏸️ WAIT,確信度不足
4519.T,6422.0,6670.9,6297.6,0.3564,0.5457,-0.05,1.03,188.6,⏸️ WAIT,確信度不足
4004.T,14295.0,16070.7,13407.1,0.3562,0.5455,2.01,1.52,299.5,⏸️ WAIT,確信度不足
4194.T,8028.0,8618.0,7733.0,0.3562,0.5461,0.61,2.86,33.5,⏸️ WAIT,確信度不足
6856.T,21490.0,22966.4,20751.8,0.356,0.5412,1.46,1.31,42.9,⏸️ WAIT,確信度不足
3132.T,3761.0,4076.3,3603.4,0.3558,0.5462,1.74,1.33,26.3,⏸️ WAIT,確信度不足
5947.T,3432.0,3540.0,3378.0,0.3557,0.5486,0.08,1.45,11.4,⏸️ WAIT,確信度不足
5706.T,23240.0,26232.1,21743.9,0.3555,0.5396,2.22,1.12,415.6,⏸️ WAIT,確信度不足
2502.T,1586.5,1633.3,1563.1,0.3554,0.5423,-0.0,1.0,91.9,⏸️ WAIT,確信度不足
8358.T,2806.0,2946.6,2735.7,0.3553,0.5524,0.51,1.38,20.9,⏸️ WAIT,確信度不足
4704.T,5813.0,6223.4,5607.8,0.3552,0.5533,-0.25,1.11,59.5,⏸️ WAIT,確信度不足
6141.T,2764.5,2920.9,2686.3,0.3551,0.5462,1.18,0.94,44.5,⏸️ WAIT,確信度不足
6806.T,24065.0,25376.4,23409.3,0.3551,0.5361,1.11,1.19,35.9,⏸️ WAIT,確信度不足
8308.T,2522.0,2662.5,2451.8,0.3548,0.55,0.6,1.41,243.8,⏸️ WAIT,確信度不足
6460.T,3194.0,3379.6,3101.2,0.3547,0.5374,0.01,1.16,33.6,⏸️ WAIT,確信度不足
8304.T,3457.0,3618.3,3376.4,0.3545,0.5423,0.3,1.03,41.6,⏸️ WAIT,確信度不足
3103.T,1470.0,1726.1,1341.9,0.3543,0.5422,1.19,0.62,100.8,⏸️ WAIT,確信度不足
8418.T,3203.0,3361.3,3123.9,0.3542,0.5427,0.6,1.69,15.1,⏸️ WAIT,確信度不足
6503.T,5027.0,5340.3,4870.4,0.3539,0.5462,1.25,1.05,302.8,⏸️ WAIT,確信度不足
6965.T,2193.0,2332.6,2123.2,0.3537,0.5589,1.27,0.81,53.4,⏸️ WAIT,確信度不足
6376.T,3270.0,3642.1,3083.9,0.3536,0.5374,1.3,1.13,13.3,⏸️ WAIT,確信度不足
6592.T,1658.5,1732.7,1621.4,0.3536,0.5482,0.76,1.14,17.9,⏸️ WAIT,確信度不足
6702.T,3749.0,3960.3,3643.4,0.3535,0.5492,0.55,1.3,227.9,⏸️ WAIT,確信度不足
8361.T,8180.0,8687.1,7926.4,0.3535,0.5496,0.55,1.46,12.3,⏸️ WAIT,確信度不足
9364.T,4809.0,4916.9,4755.1,0.3533,0.5476,0.22,1.25,13.0,⏸️ WAIT,確信度不足
2579.T,3684.0,3842.1,3604.9,0.3531,0.5373,0.3,1.06,23.0,⏸️ WAIT,確信度不足
5929.T,3367.0,3495.7,3302.6,0.353,0.5545,0.43,1.4,23.9,⏸️ WAIT,確信度不足
6787.T,19020.0,21474.3,17792.9,0.3529,0.5548,2.21,0.8,59.2,⏸️ WAIT,確信度不足
6849.T,1540.0,1607.4,1506.3,0.3529,0.5564,-0.14,1.61,11.1,⏸️ WAIT,確信度不足
8020.T,2263.0,2364.1,2212.4,0.3528,0.5484,0.45,1.18,11.2,⏸️ WAIT,確信度不足
7721.T,6550.0,7232.9,6208.6,0.3527,0.5422,1.5,1.12,17.2,⏸️ WAIT,確信度不足
4091.T,5379.0,5647.6,5244.7,0.3526,0.5494,0.55,1.17,34.6,⏸️ WAIT,確信度不足
4324.T,3577.0,3772.3,3479.4,0.3526,0.5572,0.1,1.16,34.7,⏸️ WAIT,確信度不足
4516.T,3386.0,3498.1,3329.9,0.3526,0.549,-0.0,1.31,11.2,⏸️ WAIT,確信度不足
4755.T,716.2999877929688,753.4,697.8,0.3526,0.5497,0.73,0.9,98.5,⏸️ WAIT,確信度不足
7733.T,1970.0,2077.6,1916.2,0.3526,0.5499,-0.16,1.33,87.7,⏸️ WAIT,確信度不足
8334.T,2891.0,3041.7,2815.6,0.3526,0.5481,0.44,1.73,31.9,⏸️ WAIT,確信度不足
5832.T,3508.0,3676.0,3424.0,0.3525,0.5458,0.64,1.27,13.7,⏸️ WAIT,確信度不足
9435.T,37680.0,38972.9,37033.6,0.3525,0.555,0.19,1.09,23.3,⏸️ WAIT,確信度不足
6507.T,11330.0,12428.6,10780.7,0.3524,0.5474,1.51,1.13,17.8,⏸️ WAIT,確信度不足
6861.T,76000.0,80080.0,73960.0,0.3524,0.5542,1.14,1.44,425.1,⏸️ WAIT,確信度不足
7389.T,1979.0,2141.9,1897.6,0.3524,0.5528,0.26,2.27,19.8,⏸️ WAIT,確信度不足
6113.T,2338.5,2495.4,2260.0,0.3523,0.541,1.64,1.35,55.3,⏸️ WAIT,確信度不足
8253.T,4595.0,4797.4,4493.8,0.3523,0.5599,0.24,1.14,33.1,⏸️ WAIT,確信度不足
4901.T,3225.0,3361.3,3156.9,0.3522,0.5538,0.4,1.11,124.6,⏸️ WAIT,確信度不足
6323.T,3464.0,3797.4,3297.3,0.3521,0.5508,1.43,1.28,44.5,⏸️ WAIT,確信度不足
7974.T,8093.0,8617.4,7830.8,0.3521,0.5389,0.27,1.04,794.8,⏸️ WAIT,確信度不足
8303.T,1568.5,1642.4,1531.6,0.352,0.5516,0.68,1.01,41.9,⏸️ WAIT,確信度不足
5715.T,4045.0,4410.0,3862.5,0.3519,0.5459,1.52,1.36,10.3,⏸️ WAIT,確信度不足
7012.T,2319.0,2477.8,2239.6,0.3519,0.5485,0.95,0.92,298.8,⏸️ WAIT,確信度不足
5393.T,3292.0,3494.7,3190.6,0.3517,0.5446,1.22,1.21,14.6,⏸️ WAIT,確信度不足
3923.T,1021.5,1111.7,976.4,0.3516,0.5495,0.05,0.99,19.5,⏸️ WAIT,確信度不足
3382.T,2008.0,2073.2,1975.4,0.3515,0.5404,-0.12,1.21,143.6,⏸️ WAIT,確信度不足
6753.T,678.0,720.4,656.8,0.3514,0.5499,0.69,1.87,27.9,⏸️ WAIT,確信度不足
9962.T,3447.0,3689.1,3325.9,0.3514,0.5375,1.29,1.35,41.4,⏸️ WAIT,確信度不足
2802.T,4974.0,5252.1,4834.9,0.3513,0.5589,0.98,1.01,147.7,⏸️ WAIT,確信度不足
8366.T,2852.0,3011.3,2772.4,0.3513,0.5494,0.85,1.48,14.8,⏸️ WAIT,確信度不足
6315.T,2116.0,2302.1,2022.9,0.3512,0.5476,1.79,1.33,66.8,⏸️ WAIT,確信度不足
6269.T,8995.0,9641.3,8671.9,0.351,0.5481,1.47,1.3,60.6,⏸️ WAIT,確信度不足
6367.T,20780.0,21512.9,20413.6,0.351,0.552,0.39,1.15,221.4,⏸️ WAIT,確信度不足
6383.T,5429.0,5752.1,5267.4,0.351,0.5491,1.21,1.2,81.0,⏸️ WAIT,確信度不足
3659.T,3070.0,3211.7,2999.1,0.3509,0.5574,0.24,1.01,84.2,⏸️ WAIT,確信度不足
8343.T,9440.0,10105.7,9107.1,0.3509,0.544,0.78,1.21,15.1,⏸️ WAIT,確信度不足
4578.T,11335.0,11827.1,11088.9,0.3507,0.5489,0.06,1.4,138.7,⏸️ WAIT,確信度不足
6902.T,1921.0,1989.6,1886.7,0.3507,0.5519,0.42,1.1,130.6,⏸️ WAIT,確信度不足
9449.T,3816.0,4038.6,3704.7,0.3507,0.5498,0.34,0.87,10.3,⏸️ WAIT,確信度不足
1942.T,5433.0,5738.3,5280.4,0.3506,0.5489,1.26,0.7,38.9,⏸️ WAIT,確信度不足
6135.T,14580.0,15475.7,14132.1,0.3506,0.5452,1.14,1.2,18.2,⏸️ WAIT,確信度不足
8086.T,1438.5,1491.7,1411.9,0.3506,0.5549,0.15,0.86,11.3,⏸️ WAIT,確信度不足
3105.T,2235.0,2401.1,2151.9,0.3505,0.5609,1.12,0.93,17.4,⏸️ WAIT,確信度不足
4971.T,6020.0,6584.3,5737.9,0.3505,0.5577,1.79,1.23,15.2,⏸️ WAIT,確信度不足
4392.T,980.0,1157.0,891.5,0.3504,0.5515,-0.04,0.8,15.5,⏸️ WAIT,確信度不足
6370.T,7366.0,7812.4,7142.8,0.3504,0.5463,1.27,1.14,44.2,⏸️ WAIT,確信度不足
8338.T,726.0,790.3,693.9,0.3504,0.5532,1.04,1.0,11.1,⏸️ WAIT,確信度不足
6526.T,1834.5,1986.1,1758.7,0.3503,0.5401,1.56,1.11,102.5,⏸️ WAIT,確信度不足
6752.T,4200.0,4523.3,4038.4,0.3503,0.5526,1.54,1.05,328.9,⏸️ WAIT,確信度不足
6875.T,10490.0,11261.4,10104.3,0.3503,0.5515,1.36,0.89,10.8,⏸️ WAIT,確信度不足
7003.T,4145.0,4502.0,3966.5,0.3503,0.5462,1.43,1.05,88.9,⏸️ WAIT,確信度不足
9468.T,3588.0,3748.4,3507.8,0.3503,0.5516,-0.15,1.24,10.3,⏸️ WAIT,確信度不足
7327.T,2631.0,2766.3,2563.4,0.3502,0.5514,0.52,1.4,18.5,⏸️ WAIT,確信度不足
4483.T,3520.0,3759.3,3400.4,0.3499,0.5574,0.7,0.89,14.4,⏸️ WAIT,確信度不足
4768.T,3528.0,3677.1,3453.4,0.3499,0.5504,0.01,1.2,40.3,⏸️ WAIT,確信度不足
8113.T,951.5,984.3,935.1,0.3499,0.55,-0.1,1.13,42.6,⏸️ WAIT,確信度不足
6301.T,7114.0,7477.6,6932.2,0.3497,0.5481,0.87,1.48,205.2,⏸️ WAIT,確信度不足
6481.T,5874.0,6330.9,5645.6,0.3497,0.5484,1.44,1.22,60.5,⏸️ WAIT,確信度不足
7951.T,1232.0,1284.5,1205.8,0.3497,0.5434,0.43,1.08,32.9,⏸️ WAIT,確信度不足
4540.T,3717.0,3805.1,3672.9,0.3496,0.5363,-0.01,0.78,25.8,⏸️ WAIT,確信度不足
4099.T,2151.0,2341.6,2055.7,0.3495,0.5593,1.53,0.74,20.7,⏸️ WAIT,確信度不足
7180.T,1615.5,1696.4,1575.1,0.3495,0.557,0.44,1.36,17.6,⏸️ WAIT,確信度不足
1951.T,2540.5,2621.6,2499.9,0.3494,0.5437,0.52,1.01,11.4,⏸️ WAIT,確信度不足
6963.T,4577.0,5076.1,4327.4,0.3494,0.5522,1.97,1.28,159.9,⏸️ WAIT,確信度不足
6055.T,2088.0,2290.7,1986.6,0.3492,0.554,1.26,0.93,13.3,⏸️ WAIT,確信度不足
6368.T,12050.0,12977.9,11586.1,0.3492,0.5602,1.59,1.19,27.6,⏸️ WAIT,確信度不足
8377.T,8250.0,8727.7,8011.1,0.3492,0.5509,0.78,1.26,32.5,⏸️ WAIT,確信度不足
9831.T,717.7000122070312,745.9,703.6,0.3492,0.5562,0.0,1.06,29.5,⏸️ WAIT,確信度不足
4503.T,2240.5,2332.4,2194.6,0.3491,0.5571,-0.27,1.31,117.4,⏸️ WAIT,確信度不足
7167.T,1670.0,1752.7,1628.6,0.3491,0.5442,0.49,1.53,44.1,⏸️ WAIT,確信度不足
6645.T,6003.0,6442.4,5783.3,0.349,0.5477,1.25,1.31,70.3,⏸️ WAIT,確信度不足
8341.T,3973.0,4185.1,3866.9,0.349,0.5508,0.63,1.3,24.6,⏸️ WAIT,確信度不足
8354.T,7827.0,8186.9,7647.1,0.349,0.5445,0.52,1.5,58.3,⏸️ WAIT,確信度不足
5831.T,3551.0,3739.0,3457.0,0.3489,0.5416,0.6,1.25,70.7,⏸️ WAIT,確信度不足
6016.T,10830.0,12050.0,10220.0,0.3488,0.5455,0.97,0.94,13.1,⏸️ WAIT,確信度不足
1980.T,2653.0,2822.4,2568.3,0.3487,0.5619,1.47,0.98,15.3,⏸️ WAIT,確信度不足
5233.T,4061.0,4256.3,3963.4,0.3487,0.5481,0.75,1.11,20.5,⏸️ WAIT,確信度不足
6525.T,8162.0,9238.3,7623.9,0.3487,0.5522,2.01,0.82,813.8,⏸️ WAIT,確信度不足
8410.T,337.3999938964844,348.6,331.8,0.3487,0.5583,0.04,1.45,11.3,⏸️ WAIT,確信度不足
4912.T,1737.0,1813.6,1698.7,0.3486,0.5506,0.13,1.15,18.4,⏸️ WAIT,確信度不足
5101.T,6764.0,7247.0,6522.5,0.3486,0.5569,0.89,1.13,60.5,⏸️ WAIT,確信度不足
