ticker,price,target_price,stop_price,prob_win,prob_win_raw,prob_stop,prob_stop_raw,ev_score,ev_score_raw,sd_weight,days_to_clear,size_factor,size_reason,beta,vol_ratio,turnover_oku,action,reason,sector_name,sector_score,sector_shock,sector_advice,sector_summary,macro_flow,standalone_shares,standalone_cost_yen,standalone_max_loss_yen,standalone_leverage_capped,standalone_maxpos_capped,skip_reason
8086.T,1441.0,1492.9,1415.0,0.4144,0.3856,0.315,0.3596,0.514,0.41200000047683716,1.11,0.23,0.53,逆張りリバウンド警戒 (前日比-0.1%) ＋ セクターセンチメント(+0.20 -> 1.06倍),-0.09,0.73,13.2,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,200,288200,5200,False,True,
4536.T,1736.0,1817.0,1695.5,0.3892,0.3647,0.3468,0.3896,0.432,0.3400000035762787,1.11,0.07,1.0,通常ロット,-0.02,1.07,32.0,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,173600,4050,False,True,
4413.T,2965.0,2971.9,2961.6,0.3755,0.3514,0.3594,0.4039,0.392,0.29899999499320984,1.11,0.15,1.0,通常ロット,-0.02,0.87,11.3,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,296500,340,True,True,
7912.T,2974.0,3107.2,2907.4,0.3768,0.3527,0.3624,0.4072,0.391,0.2980000078678131,1.11,0.12,1.0,通常ロット,0.4,1.08,45.8,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,297400,6660,False,True,
9983.T,67920.0,71071.4,66344.3,0.3666,0.3761,0.3899,0.3749,0.343,0.37700000405311584,0.96,0.54,1.0,通常ロット,0.05,1.2,647.2,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,0,0,0,False,False,risk
7649.T,1261.5,1327.7,1228.4,0.3628,0.3747,0.3835,0.3652,0.342,0.3840000033378601,0.95,0.22,1.0,通常ロット,-0.37,0.88,34.4,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,200,252300,6620,False,True,
6861.T,77270.0,81325.7,75242.1,0.3621,0.3517,0.3896,0.4081,0.335,0.29499998688697815,1.03,0.29,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),0.83,1.64,438.7,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,risk
7951.T,1247.5,1305.7,1218.4,0.3587,0.335,0.3836,0.431,0.334,0.23899999260902405,1.11,0.14,0.5,逆張りリバウンド警戒 (前日比-0.1%),0.22,0.91,28.8,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,200,249500,5820,False,True,
4385.T,3554.0,3898.9,3381.6,0.3612,0.3731,0.3897,0.3711,0.333,0.375,0.95,0.41,0.5,逆張りリバウンド警戒 (前日比-3.9%),0.11,0.96,101.9,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,risk
4543.T,2274.5,2386.6,2218.5,0.3626,0.3708,0.3947,0.382,0.33,0.35899999737739563,0.95,0.2,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),-0.11,1.32,91.8,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,100,227450,5600,False,True,
5108.T,3801.0,3957.0,3723.0,0.3627,0.3728,0.396,0.3802,0.329,0.3659999966621399,0.95,0.14,1.03,通常ロット ＋ セクターセンチメント(+0.10 -> 1.03倍),0.09,1.31,165.0,⏸️ WAIT,見送り,自動車・輸出,0.1,False,通常,米議員の中国車排除要求は日本車に追い風も影響は限定的。,CTA_SURGE,0,0,0,False,False,maxpos
7309.T,17960.0,18767.1,17556.4,0.3612,0.3713,0.3943,0.3785,0.328,0.36399999260902405,0.95,0.19,0.52,逆張りリバウンド警戒 (前日比-1.5%) ＋ セクターセンチメント(+0.10 -> 1.03倍),-0.14,1.01,53.3,⏸️ WAIT,見送り,自動車・輸出,0.1,False,通常,米議員の中国車排除要求は日本車に追い風も影響は限定的。,CTA_SURGE,0,0,0,False,False,risk
3186.T,2915.0,3122.6,2811.2,0.3563,0.3756,0.3982,0.3687,0.314,0.382999986410141,0.92,1.16,1.0,通常ロット,0.51,1.08,15.3,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,100,291500,10380,False,True,
8233.T,2120.5,2227.7,2066.9,0.3561703562736511,0.3562,0.40480488538742065,0.4048,0.308,0.30799999833106995,1.0,0.69,1.0,通常ロット,0.22,0.9,28.2,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,100,212050,5360,False,True,
7747.T,3338.0,3561.0,3226.5,0.3545,0.3627,0.403,0.3901,0.306,0.33500000834465027,0.95,0.28,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),-0.11,1.16,43.7,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,maxpos
2802.T,4998.0,5252.3,4870.9,0.3545,0.3568,0.4053,0.4013,0.304,0.31200000643730164,0.99,0.47,1.0,通常ロット,0.91,1.22,137.4,⏸️ WAIT,見送り,食料品・ディフェンシブ,0.0,False,通常,新規材料なし、ニュートラルを維持。,CTA_SURGE,0,0,0,False,False,maxpos
7532.T,716.0,755.6,696.2,0.3525,0.3876,0.4077,0.3576,0.297,0.4180000126361847,0.86,0.57,1.0,通常ロット,-0.26,1.15,121.3,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,400,286400,7920,False,True,
5726.T,2408.0,2596.6,2313.7,0.3489,0.3559,0.4098,0.3978,0.288,0.3140000104904175,0.97,1.45,1.0,通常ロット,1.21,0.66,19.8,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,240800,9430,False,True,
7741.T,23140.0,24177.1,22621.4,0.3508,0.3589,0.4148,0.4015,0.287,0.3160000145435333,0.95,0.23,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),0.46,1.22,272.8,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,risk
5332.T,5859.0,6149.0,5714.0,0.3489,0.3631,0.4123,0.389,0.285,0.3370000123977661,0.94,0.79,1.0,通常ロット,1.12,1.31,58.7,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
4912.T,1718.0,1785.3,1684.4,0.3489,0.3606,0.4163,0.3964,0.281,0.32499998807907104,0.95,0.07,0.5,逆張りリバウンド警戒 (前日比-0.4%),-0.16,0.88,17.6,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,171800,3360,False,True,
4204.T,2517.0,2602.0,2474.5,0.34597042202949524,0.346,0.41511639952659607,0.4151,0.277,0.2770000100135803,1.0,0.98,1.0,通常ロット,0.2,1.38,33.6,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,251700,4250,False,True,
