date,ticker,margin_buy,margin_short,margin_ratio
2023-07-28,1332.T,1581700.0,356300.0,4.4392
2023-07-28,1515.T,145800.0,12500.0,11.664
2023-07-28,1605.T,4559500.0,2139100.0,2.1315
2023-07-28,1662.T,393700.0,65700.0,5.9924
2023-07-28,1801.T,181300.0,385800.0,0.4699
2023-07-28,1803.T,1506800.0,503800.0,2.9909
2023-07-28,1812.T,821200.0,228300.0,3.597
2023-07-28,1878.T,32400.0,32400.0,1.0
2023-07-28,1928.T,774800.0,250800.0,3.0893
2023-07-28,2502.T,361100.0,169100.0,2.1354
2023-07-28,2503.T,1199100.0,223700.0,5.3603
2023-07-28,2801.T,115500.0,78400.0,1.4732
2023-07-28,2802.T,408400.0,364400.0,1.1207
2023-07-28,2914.T,7024700.0,881600.0,7.9681
2023-07-28,3103.T,2123300.0,198100.0,10.7183
2023-07-28,3110.T,71200.0,111000.0,0.6414
2023-07-28,3231.T,92800.0,114700.0,0.8091
2023-07-28,3382.T,1077000.0,140700.0,7.6546
2023-07-28,3401.T,310000.0,136400.0,2.2727
2023-07-28,3402.T,2432800.0,268400.0,9.0641
2023-07-28,3436.T,6169500.0,502300.0,12.2825
2023-07-28,3444.T,135500.0,2000.0,67.75
2023-07-28,3563.T,2441100.0,168700.0,14.4701
2023-07-28,3861.T,2578700.0,262600.0,9.8199
2023-07-28,3941.T,424100.0,93600.0,4.531
2023-07-28,4004.T,1443500.0,115700.0,12.4762
2023-07-28,4062.T,322800.0,635500.0,0.5079
2023-07-28,4063.T,3572100.0,537700.0,6.6433
2023-07-28,4307.T,199500.0,95500.0,2.089
2023-07-28,4452.T,840700.0,391700.0,2.1463
2023-07-28,4502.T,2654100.0,139600.0,19.0122
2023-07-28,4503.T,1323800.0,120200.0,11.0133
2023-07-28,4507.T,1919000.0,49100.0,39.0835
2023-07-28,4519.T,485000.0,247600.0,1.9588
2023-07-28,4543.T,214900.0,174200.0,1.2336
2023-07-28,4568.T,2579100.0,148900.0,17.321
2023-07-28,4578.T,393700.0,182700.0,2.1549
2023-07-28,4661.T,2518000.0,1684600.0,1.4947
2023-07-28,4755.T,36011900.0,14554800.0,2.4742
2023-07-28,4901.T,926600.0,217400.0,4.2622
2023-07-28,4911.T,1002400.0,482500.0,2.0775
2023-07-28,5019.T,887700.0,121100.0,7.3303
2023-07-28,5020.T,6060700.0,882100.0,6.8708
2023-07-28,5021.T,839500.0,40700.0,20.6265
2023-07-28,5101.T,275800.0,417400.0,0.6608
2023-07-28,5105.T,167000.0,102200.0,1.6341
2023-07-28,5108.T,990800.0,657100.0,1.5078
2023-07-28,5110.T,323100.0,133200.0,2.4257
2023-07-28,5201.T,1091200.0,126300.0,8.6397
2023-07-28,5301.T,5103000.0,110800.0,46.056
2023-07-28,5332.T,290700.0,54800.0,5.3047
2023-07-28,5333.T,530400.0,172200.0,3.0801
2023-07-28,5334.T,960700.0,117600.0,8.1692
2023-07-28,5401.T,12808500.0,1107500.0,11.5652
2023-07-28,5406.T,9242300.0,2784100.0,3.3197
2023-07-28,5411.T,2804200.0,1736200.0,1.6151
2023-07-28,5444.T,1061500.0,22800.0,46.557
2023-07-28,5471.T,92000.0,23700.0,3.8819
2023-07-28,5706.T,987800.0,100300.0,9.8485
2023-07-28,5801.T,808600.0,126000.0,6.4175
2023-07-28,5802.T,1735400.0,81100.0,21.3983
2023-07-28,5803.T,5557200.0,654200.0,8.4946
2023-07-28,5929.T,54900.0,76800.0,0.7148
2023-07-28,5938.T,1161300.0,121600.0,9.5502
2023-07-28,5991.T,296300.0,83000.0,3.5699
2023-07-28,6098.T,1329900.0,652100.0,2.0394
2023-07-28,6146.T,226800.0,432400.0,0.5245
2023-07-28,6178.T,10172500.0,320900.0,31.6999
2023-07-28,6203.T,510600.0,36900.0,13.8374
2023-07-28,6330.T,562000.0,79500.0,7.0692
2023-07-28,6367.T,446300.0,152200.0,2.9323
2023-07-28,6532.T,2120600.0,86900.0,24.4028
2023-07-28,6857.T,1797300.0,1373100.0,1.3089
2023-07-28,6902.T,593100.0,316000.0,1.8769
2023-07-28,6976.T,523900.0,159000.0,3.295
2023-07-28,6988.T,191000.0,95200.0,2.0063
2023-07-28,7011.T,1909500.0,492600.0,3.8764
2023-07-28,7012.T,1230000.0,394700.0,3.1163
2023-07-28,7013.T,2945400.0,158500.0,18.583
2023-07-28,7182.T,1965800.0,1679700.0,1.1703
2023-07-28,7203.T,9537400.0,3689900.0,2.5847
2023-07-28,7267.T,1560300.0,755100.0,2.0663
2023-07-28,7269.T,430500.0,139600.0,3.0838
2023-07-28,7532.T,444800.0,112300.0,3.9608
2023-07-28,7733.T,3280300.0,142000.0,23.1007
2023-07-28,7741.T,259800.0,66200.0,3.9245
2023-07-28,7747.T,215700.0,121400.0,1.7768
2023-07-28,7826.T,259000.0,0.0,999.0
2023-07-28,7832.T,363800.0,86600.0,4.2009
2023-07-28,7911.T,141100.0,99800.0,1.4138
2023-07-28,7936.T,234200.0,252800.0,0.9264
2023-07-28,7966.T,83800.0,47300.0,1.7717
2023-07-28,7974.T,3555600.0,1287000.0,2.7627
2023-07-28,8001.T,1563000.0,447800.0,3.4904
2023-07-28,8002.T,6542900.0,2364000.0,2.7677
2023-07-28,8031.T,3215400.0,637100.0,5.0469
2023-07-28,8035.T,1311800.0,824300.0,1.5914
2023-07-28,8050.T,293500.0,41000.0,7.1585
2023-07-28,8058.T,4792100.0,1246800.0,3.8435
2023-07-28,8111.T,114500.0,66500.0,1.7218
2023-07-28,8136.T,109200.0,505500.0,0.216
2023-07-28,8253.T,1689600.0,143000.0,11.8154
2023-07-28,8267.T,302000.0,1416300.0,0.2132
2023-07-28,8306.T,59174000.0,9936200.0,5.9554
2023-07-28,8308.T,4960400.0,1060100.0,4.6792
2023-07-28,8316.T,5742300.0,985500.0,5.8268
2023-07-28,8411.T,6164300.0,1630000.0,3.7818
2023-07-28,8439.T,114800.0,77100.0,1.489
2023-07-28,8473.T,4097200.0,158900.0,25.7848
2023-07-28,8591.T,1190100.0,482900.0,2.4645
2023-07-28,8593.T,7484600.0,245300.0,30.512
2023-07-28,8601.T,2849700.0,540200.0,5.2753
2023-07-28,8604.T,21534000.0,1971900.0,10.9204
2023-07-28,8630.T,390600.0,960900.0,0.4065
2023-07-28,8697.T,279700.0,104200.0,2.6843
2023-07-28,8725.T,1488000.0,121100.0,12.2874
2023-07-28,8750.T,1387500.0,371200.0,3.7379
2023-07-28,8766.T,1262400.0,449800.0,2.8066
2023-07-28,8795.T,222000.0,248200.0,0.8944
2023-07-28,8801.T,681300.0,428500.0,1.59
2023-07-28,8802.T,2300600.0,142000.0,16.2014
2023-07-28,8830.T,430300.0,202900.0,2.1207
2023-07-28,9005.T,879800.0,117200.0,7.5068
2023-07-28,9020.T,1010900.0,146500.0,6.9003
2023-07-28,9021.T,2388100.0,53000.0,45.0585
2023-07-28,9022.T,835900.0,55300.0,15.1157
2023-07-28,9101.T,4837600.0,3740000.0,1.2935
2023-07-28,9104.T,3268800.0,3217200.0,1.016
2023-07-28,9107.T,2969600.0,7091500.0,0.4188
2023-07-28,9130.T,171400.0,13900.0,12.3309
2023-07-28,9147.T,38500.0,62500.0,0.616
2023-07-28,9201.T,4372300.0,538200.0,8.1239
2023-07-28,9202.T,3527700.0,607200.0,5.8098
2023-07-28,9301.T,33000.0,24500.0,1.3469
2023-07-28,9364.T,36900.0,41400.0,0.8913
2023-07-28,9432.T,157530200.0,7882800.0,19.984
2023-07-28,9433.T,895100.0,131900.0,6.7862
2023-07-28,9434.T,3459100.0,549200.0,6.2984
2023-07-28,9501.T,35248800.0,9673400.0,3.6439
2023-07-28,9502.T,289100.0,215300.0,1.3428
2023-07-28,9503.T,1756600.0,709700.0,2.4751
2023-07-28,9506.T,3837700.0,543500.0,7.0611
2023-07-28,9532.T,709900.0,55800.0,12.7222
2023-07-28,9706.T,163200.0,40400.0,4.0396
2023-07-28,9735.T,26900.0,41500.0,0.6482
2023-07-28,9983.T,589300.0,1045300.0,0.5638
2023-07-28,9984.T,7721300.0,3835800.0,2.013
2023-08-04,1332.T,1555100.0,376100.0,4.1348
2023-08-04,1515.T,145900.0,11300.0,12.9115
2023-08-04,1605.T,5010100.0,2106100.0,2.3789
2023-08-04,1662.T,363900.0,67700.0,5.3752
2023-08-04,1801.T,160500.0,391800.0,0.4096
2023-08-04,1803.T,1801400.0,530400.0,3.3963
2023-08-04,1812.T,895600.0,221200.0,4.0488
2023-08-04,1878.T,18800.0,34000.0,0.5529
2023-08-04,1928.T,603100.0,211800.0,2.8475
2023-08-04,2502.T,389800.0,142200.0,2.7412
2023-08-04,2503.T,1456700.0,75100.0,19.3968
2023-08-04,2801.T,121700.0,82200.0,1.4805
2023-08-04,2802.T,343700.0,365300.0,0.9409
2023-08-04,2914.T,6850200.0,321900.0,21.2805
2023-08-04,3103.T,2223100.0,176000.0,12.6312
2023-08-04,3110.T,111000.0,101200.0,1.0968
2023-08-04,3231.T,74900.0,89900.0,0.8331
2023-08-04,3382.T,1103100.0,153600.0,7.1816
2023-08-04,3401.T,307000.0,127100.0,2.4154
2023-08-04,3402.T,2462800.0,226400.0,10.8781
2023-08-04,3436.T,6908700.0,331600.0,20.8344
2023-08-04,3444.T,136200.0,2000.0,68.1
2023-08-04,3563.T,2210700.0,150300.0,14.7086
2023-08-04,3861.T,2472200.0,366800.0,6.7399
2023-08-04,3941.T,417100.0,66200.0,6.3006
2023-08-04,4004.T,1377400.0,117100.0,11.7626
2023-08-04,4062.T,369300.0,596100.0,0.6195
2023-08-04,4063.T,3408300.0,841700.0,4.0493
2023-08-04,4307.T,174800.0,85200.0,2.0516
2023-08-04,4452.T,702600.0,438200.0,1.6034
2023-08-04,4502.T,3291200.0,123000.0,26.7577
2023-08-04,4503.T,1697300.0,121300.0,13.9926
2023-08-04,4507.T,1794500.0,51200.0,35.0488
2023-08-04,4519.T,397200.0,262200.0,1.5149
2023-08-04,4543.T,224200.0,155300.0,1.4437
2023-08-04,4568.T,2248200.0,160900.0,13.9727
2023-08-04,4578.T,339400.0,85300.0,3.9789
2023-08-04,4661.T,3251600.0,1457200.0,2.2314
2023-08-04,4755.T,33823700.0,14820200.0,2.2823
2023-08-04,4901.T,941300.0,186700.0,5.0418
2023-08-04,4911.T,1095600.0,497400.0,2.2027
2023-08-04,5019.T,954500.0,119700.0,7.9741
2023-08-04,5020.T,5932800.0,882200.0,6.725
2023-08-04,5021.T,716200.0,37300.0,19.2011
2023-08-04,5101.T,240200.0,383700.0,0.626
2023-08-04,5105.T,179900.0,86600.0,2.0774
2023-08-04,5108.T,923400.0,462200.0,1.9978
2023-08-04,5110.T,372400.0,125400.0,2.9697
2023-08-04,5201.T,1099400.0,77400.0,14.2041
2023-08-04,5301.T,5098400.0,133200.0,38.2763
2023-08-04,5332.T,395900.0,63000.0,6.2841
2023-08-04,5333.T,338300.0,67800.0,4.9897
2023-08-04,5334.T,859400.0,128700.0,6.6775
2023-08-04,5401.T,12032300.0,1125100.0,10.6944
2023-08-04,5406.T,9564800.0,2421900.0,3.9493
2023-08-04,5411.T,2765400.0,1425600.0,1.9398
2023-08-04,5444.T,1006100.0,29700.0,33.8754
2023-08-04,5471.T,70800.0,28100.0,2.5196
