"コード","銘柄名","市場","現在値","前日比(%)","平均売買代金(千円)"
"1332","ニッスイ","東P","1185.5","-17.5(-1.45%)","1,937,234"
"1333","Ｕｍｉｏｓ","東P","1266.0","-9.5(-0.74%)","602,128"
"1407","ウエストＨＬＤＧ","東S","2387","+49.0(+2.10%)","1,256,125"
"1414","ショーボンドＨＬＤＧ","東P","1258.5","-8.5(-0.67%)","1,095,346"
"1417","ミライト・ワン","東P","3540.0","-5.0(-0.14%)","769,558"
"1419","タマホーム","東P","2870","+1.0(+0.03%)","510,421"
"1515","日鉄鉱業","東P","3740","+210.0(+5.95%)","2,916,054"
"1518","三井松島ＨＬＤＧ","東P","2283","-8.0(-0.35%)","815,663"
"1605","ＩＮＰＥＸ","東P","3912.0","+80.0(+2.09%)","18,120,177"
"1662","石油資源開発","東P","1911","+16.0(+0.84%)","2,223,103"
"1719","安藤・間","東P","1924.0","+13.0(+0.68%)","1,209,518"
"1721","コムシスＨＬＤＧ","東P","5467.0","+8.0(+0.15%)","1,983,247"
"1723","日本電技","東S","2483","+30.0(+1.22%)","541,520"
"1801","大成建設","東P","13340.0","+195.0(+1.48%)","7,901,416"
"1802","大林組","東P","3108.0","+58.0(+1.90%)","7,050,750"
"1803","清水建設","東P","2533.5","+77.5(+3.16%)","6,371,691"
"1808","長谷工コーポレーション","東P","2821.5","+21.5(+0.77%)","2,296,204"
"1812","鹿島建設","東P","5187.0","+125.0(+2.47%)","9,728,201"
"1820","西松建設","東P","5639.0","+5.0(+0.09%)","666,872"
"1833","奥村組","東P","5800","+10.0(+0.17%)","737,469"
"1860","戸田建設","東P","1529.0","+15.5(+1.02%)","1,333,048"
"1861","熊谷組","東P","1313","+13.0(+1.00%)","1,459,451"
"1878","大東建託","東P","3301.0","+11.0(+0.33%)","4,735,422"
"1882","東亜道路工業","東P","1605","-7.0(-0.43%)","603,949"
"1885","東亜建設工業","東P","2140","+36.0(+1.71%)","950,548"
"1893","五洋建設","東P","1510.0","+54.0(+3.71%)","2,819,067"
"1911","住友林業","東P","1259.0","-13.5(-1.06%)","5,187,810"
"1925","大和ハウス工業","東P","4631.0","-8.0(-0.17%)","7,946,927"
"1928","積水ハウス","東P","3321.0","+19.0(+0.58%)","6,921,863"
"1942","関電工","東P","5752.0","+116.0(+2.06%)","4,215,060"
"1944","きんでん","東P","7153.0","+30.0(+0.42%)","4,481,936"
"1951","エクシオグループ","東P","2588.5","-18.0(-0.69%)","1,107,418"
"1959","クラフティア","東P","8192.0","+142.0(+1.76%)","1,499,879"
"1961","三機工業","東P","2457","+37.0(+1.53%)","1,132,635"
"1963","日揮ＨＬＤＧ","東P","2440.0","+73.0(+3.08%)","3,335,821"
"1969","高砂熱学工業","東P","4502.0","+112.0(+2.55%)","2,314,137"
"1979","大氣社","東P","3830","+20.0(+0.52%)","991,015"
"1980","ダイダン","東P","2865","+65.0(+2.32%)","1,468,897"
"2002","日清製粉グループ本社","東P","2037.5","-7.0(-0.34%)","1,882,957"
"2121","ＭＩＸＩ","東P","3460","-65.0(-1.84%)","1,339,619"
"2124","ジェイエイシーリクルートメント","東P","956","-12.0(-1.24%)","762,832"
"2127","日本Ｍ＆ＡセンターＨＬＤＧ","東P","625.1","-14.9(-2.33%)","1,993,273"
"2146","ＵＴグループ","東P","221","-3.0(-1.34%)","1,341,523"
"2157","コシダカＨＬＤＧ","東P","992","-7.0(-0.70%)","1,136,711"
"2175","エス・エム・エス","東P","2531","-1.0(-0.04%)","1,180,032"
"2181","パーソルＨＬＤＧ","東P","279.0","-5.3(-1.86%)","2,996,067"
"2201","森永製菓","東P","2469.0","-35.0(-1.40%)","763,913"
"2206","江崎グリコ","東P","4980.0","-101.0(-1.99%)","864,333"
"2212","山崎製パン","東P","3848.0","-41.0(-1.05%)","2,250,231"
"2222","寿スピリッツ","東P","2455.0","-7.0(-0.28%)","1,541,868"
