feature,ic_standalone,regime_ic_max,best_regime,lookahead_gap,year_sign_consistency,missing_rate,max_corr_with_existing,verdict
gap_avg_5d,-0.1104,0.1219,HIGH,0.0063,1.00,0.00,0.6444,fail_redundant
rs60,-0.0559,0.0595,HIGH,0.0176,1.00,0.00,0.3879,PASS
dist_from_high60,0.0401,0.0775,MID,0.0206,0.75,0.00,0.7056,fail_redundant
gap_strength_5,-0.0230,0.0384,HIGH,0.0113,1.00,0.00,0.5802,PASS
rs20,-0.0207,0.0529,LOW,0.0469,0.67,0.00,0.7426,fail_redundant
atr_accel,-0.0206,0.0326,HIGH,0.0007,1.00,0.00,0.1957,PASS
relative_strength_5d,-0.0164,0.0354,LOW,0.0197,1.00,0.00,0.6841,fail_redundant
positive_gap_ratio_5,-0.0152,0.0224,LOW,0.0131,1.00,0.00,0.4238,fail_weak_ic
momentum_accel,-0.0139,0.0244,HIGH,0.0020,1.00,0.00,0.6915,fail_weak_ic
gap_follow_through,-0.0115,0.0119,LOW,0.0143,0.75,0.00,0.0667,fail_weak_ic
adx14,-0.0078,0.0328,LOW,0.0189,0.75,0.00,0.3208,fail_weak_ic
volume_ma_ratio,0.0050,0.0272,MID,0.0359,0.50,0.00,0.0790,fail_weak_ic
volume_accel,0.0048,0.0294,MID,0.0330,0.50,0.00,0.0563,fail_weak_ic
close_location_value,-0.0043,0.0085,LOW,0.0041,0.75,0.00,0.6111,fail_weak_ic
new_high20,-0.0037,0.0141,MID,0.0150,0.50,0.00,0.4111,fail_weak_ic
efficiency_ratio20,-0.0026,0.0507,LOW,0.0200,0.50,0.00,0.2949,fail_weak_ic
body_ratio,-0.0023,0.0090,MID,0.0116,0.50,0.00,0.0947,fail_weak_ic
atr_term_ratio,0.0022,0.0288,MID,0.0243,0.25,0.00,0.0997,fail_weak_ic_and_year
days_since_high20,0.0017,0.0292,MID,0.0200,0.50,0.00,0.7013,fail_weak_ic
volume_zscore,-0.0001,0.0242,MID,0.0242,0.50,0.00,0.7117,fail_weak_ic
